Business Name,Phone,Email,City,Niche,Lead Score,Reason to Contact,Attribute,source_url,scraped_date
Hvac Lead 0,+1 300-651-9376,"test_lead_0@dallas,texas.com","Dallas, Texas",HVAC Services,89,No Website,High Conversion,http://source.com/lead_0,2026-01-26 04:44:11
Hvac Lead 1,+1 701-421-8457,"test_lead_1@dallas,texas.com","Dallas, Texas",HVAC Services,83,No Website,High Conversion,http://source.com/lead_1,2026-01-26 04:44:11
Hvac Lead 2,+1 979-598-2801,"test_lead_2@dallas,texas.com","Dallas, Texas",HVAC Services,77,New Business in Your Area,High Conversion,http://source.com/lead_2,2026-01-26 04:44:11
Hvac Lead 3,+1 213-680-5740,"test_lead_3@dallas,texas.com","Dallas, Texas",HVAC Services,94,No Website,High Conversion,http://source.com/lead_3,2026-01-26 04:44:11
Hvac Lead 4,+1 357-462-2908,"test_lead_4@dallas,texas.com","Dallas, Texas",HVAC Services,78,No Website,No Website,http://source.com/lead_4,2026-01-26 04:44:11
Hvac Lead 5,+1 837-349-4232,"test_lead_5@dallas,texas.com","Dallas, Texas",HVAC Services,84,High Conversion Potential,High Conversion,http://source.com/lead_5,2026-01-26 04:44:11
Hvac Lead 6,+1 705-454-7055,"test_lead_6@dallas,texas.com","Dallas, Texas",HVAC Services,90,High Conversion Potential,No Website,http://source.com/lead_6,2026-01-26 04:44:11
Hvac Lead 7,+1 260-470-3567,"test_lead_7@dallas,texas.com","Dallas, Texas",HVAC Services,75,High Conversion Potential,No Website,http://source.com/lead_7,2026-01-26 04:44:11
Hvac Lead 8,+1 876-478-2142,"test_lead_8@dallas,texas.com","Dallas, Texas",HVAC Services,92,No Website,No Website,http://source.com/lead_8,2026-01-26 04:44:11
Hvac Lead 9,+1 137-260-9697,"test_lead_9@dallas,texas.com","Dallas, Texas",HVAC Services,91,No Website,No Website,http://source.com/lead_9,2026-01-26 04:44:11
